step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam,E_iph_sol,E_iph_gas,E_iph_liq
0, 0.000000000E+00, 1.000000000E-02, 0.000000000E+00, 2.082733481E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.884072000E+09, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.000000000E-02, 1.000000000E-02, 0.000000000E+00, 2.009379765E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 2.705212119E+06, 7.885111863E+09, 0.000000000E+00, 8.250055000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.236033939E+06,-9.309829434E+02, 0.000000000E+00, 1.031254125E+06, 0.000000000E+00, 1.735256887E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.062474414E+02, 2.037798052E+02, 3.683316121E+05, 0.000000000E+00, 0.000000000E+00, 8.577284363E+05, 5.195996629E+05, 2.564533482E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.502891123E+03, 8.502891123E+03, 0.000000000E+00
10, 1.000000000E-01, 1.000000000E-02, 0.000000000E+00, 1.947109135E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 5.117963794E+06, 7.886339651E+09, 0.000000000E+00, 8.250110000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.351985041E+06,-9.788718105E+03, 0.000000000E+00, 9.148435559E+05, 0.000000000E+00, 1.730455974E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.678345827E+02, 2.593576760E+03, 3.265965729E+05, 0.000000000E+00, 0.000000000E+00, 8.582154026E+05, 8.791692806E+05, 2.151026186E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.119763600E+05, 3.119763600E+05, 0.000000000E+00
15, 1.500000000E-01, 1.000000000E-02, 0.000000000E+00, 1.628986495E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.521202229E+07, 7.888196427E+09, 0.000000000E+00, 8.250165000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.350490442E+06,-2.456006379E+03, 0.000000000E+00, 9.148474127E+05, 0.000000000E+00, 1.715342299E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.992247840E+02, 2.949843378E+03, 4.469424941E+06, 0.000000000E+00, 0.000000000E+00, 8.597336451E+05, 1.407842090E+07, 8.555746011E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.412292058E+05, 9.412292058E+05, 0.000000000E+00
20, 2.000000000E-01, 1.000000000E-02, 0.000000000E+00, 1.562067754E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.765733468E+07, 7.891026357E+09, 0.000000000E+00, 8.250220000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.354908448E+06,-5.742262106E+03, 0.000000000E+00, 9.148512694E+05, 0.000000000E+00, 1.759354675E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.023980597E+03, 4.009016937E+03, 1.403494865E+07, 0.000000000E+00, 0.000000000E+00, 8.553392825E+05,-3.272301538E+08, 2.360051715E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.914054806E+06, 1.914054806E+06, 0.000000000E+00
25, 2.500000000E-01, 1.000000000E-02, 0.000000000E+00, 1.486188841E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 2.057271882E+07, 7.894719191E+09, 0.000000000E+00, 8.250275000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.353207588E+06,-7.162399102E+03, 0.000000000E+00, 9.148551262E+05, 0.000000000E+00, 1.742178397E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.262009566E+03, 4.793296637E+03, 1.005754870E+07, 0.000000000E+00, 0.000000000E+00, 8.570637853E+05,-3.757745441E+08, 2.814913579E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.776717213E+06, 2.776717213E+06, 0.000000000E+00
30, 3.000000000E-01, 1.000000000E-02, 0.000000000E+00, 1.760976400E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.057569136E+07, 7.897825215E+09, 0.000000000E+00, 8.250330000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.350062891E+06,-4.119338563E+03, 0.000000000E+00, 9.148589830E+05, 0.000000000E+00, 1.710563738E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.205962209E+03, 4.592523963E+03,-1.261924562E+07, 0.000000000E+00, 0.000000000E+00, 8.602321262E+05,-3.983990885E+08,-1.083993249E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.189958309E+06, 2.189958309E+06, 0.000000000E+00
35, 3.500000000E-01, 1.000000000E-02, 0.000000000E+00, 1.803478245E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 9.394902764E+06, 7.901200942E+09, 0.000000000E+00, 8.250385000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.345405607E+06,-4.994793190E+03, 0.000000000E+00, 9.148628398E+05, 0.000000000E+00, 1.663823215E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.010990161E+03, 3.900572353E+03,-3.834844618E+06, 0.000000000E+00, 0.000000000E+00, 8.649130535E+05,-5.440542100E+08,-3.037435441E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.459853178E+06, 2.459853178E+06, 0.000000000E+00
40, 4.000000000E-01, 1.000000000E-02, 0.000000000E+00, 1.692063294E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.351972076E+07, 7.903453918E+09, 0.000000000E+00, 8.250440000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.357455349E+06,-5.457862200E+03, 0.000000000E+00, 9.148666965E+05, 0.000000000E+00, 1.784152954E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.271751238E+02, 3.875714033E+03, 6.929710985E+06, 0.000000000E+00, 0.000000000E+00, 8.528869546E+05,-5.886723709E+08, 2.275681126E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.337182379E+06, 1.337182379E+06, 0.000000000E+00
45, 4.500000000E-01, 1.000000000E-02, 0.000000000E+00, 1.696368462E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.321966943E+07, 7.905117955E+09, 0.000000000E+00, 8.250495000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.347091453E+06,-4.300707941E+03, 0.000000000E+00, 9.148705533E+05, 0.000000000E+00, 1.680346316E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.100570520E+02, 3.637082134E+03,-1.614765670E+06, 0.000000000E+00, 0.000000000E+00, 8.632744934E+05,-5.786386127E+08,-2.658788055E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.483562512E+05, 7.483562512E+05, 0.000000000E+00
