step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam,E_iph_sol,E_iph_gas,E_iph_liq
0, 0.000000000E+00, 2.000000000E-03, 0.000000000E+00, 2.084860933E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.884072000E+09, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 2.000000000E-03, 2.000000000E-03, 0.000000000E+00, 2.082077656E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 8.417662729E+04, 7.884154573E+09, 0.000000000E+00, 8.250002200E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250002200E+04,-1.071624033E+00, 0.000000000E+00, 8.250002200E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.962611127E-03, 1.398038571E-03, 1.314084612E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.340840858E+03, 8.342515128E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.314212871E+01, 7.314212871E+01, 0.000000000E+00
2, 4.000000000E-03, 2.000000000E-03, 0.000000000E+00, 2.079307555E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 1.694799657E+05, 7.884237191E+09, 0.000000000E+00, 8.250004400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250004400E+04,-1.662488284E+00, 0.000000000E+00, 8.250004400E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.563524309E-01, 3.382711465E-01, 2.343942898E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.641659370E+03, 8.454247936E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.173920755E+02, 1.173920755E+02, 0.000000000E+00
3, 6.000000000E-03, 2.000000000E-03, 0.000000000E+00, 2.076535573E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 2.563155174E+05, 7.884319877E+09, 0.000000000E+00, 8.250006600E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250006600E+04,-2.317514703E+00, 0.000000000E+00, 8.250006600E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.297039837E-01, 7.061081264E-01, 4.135922640E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.045375958E+04, 8.605865302E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.862513448E+02, 1.862513448E+02, 0.000000000E+00
4, 8.000000000E-03, 2.000000000E-03, 0.000000000E+00, 2.073779307E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 3.441929879E+05, 7.884402606E+09, 0.000000000E+00, 8.250008800E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250008800E+04,-3.024098080E+00, 0.000000000E+00, 8.250008800E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.172667135E-01, 1.109948944E+00, 5.205235685E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.289458818E+04, 8.708792827E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.279151530E+02, 2.279151530E+02, 0.000000000E+00
5, 1.000000000E-02, 2.000000000E-03, 0.000000000E+00, 2.071037750E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 4.331065316E+05, 7.884485384E+09, 0.000000000E+00, 8.250011000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250011000E+04,-3.793219773E+00, 0.000000000E+00, 8.250011000E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.172683312E-01, 1.551358969E+00, 6.311053072E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.533941424E+04, 8.809220685E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.776655438E+02, 2.776655438E+02, 0.000000000E+00
6, 1.200000000E-02, 2.000000000E-03, 0.000000000E+00, 2.068314469E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 5.229659666E+05, 7.884568184E+09, 0.000000000E+00, 8.250013200E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250013200E+04,-4.622098170E+00, 0.000000000E+00, 8.250013200E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.275244082E-01, 2.034211232E+00, 7.112203216E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.785757222E+04, 8.884369265E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.982744135E+02, 2.982744135E+02, 0.000000000E+00
7, 1.400000000E-02, 2.000000000E-03, 0.000000000E+00, 2.065578354E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 6.147830374E+05, 7.884650910E+09, 0.000000000E+00, 8.250015400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250015400E+04,-5.510532130E+00, 0.000000000E+00, 8.250015400E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.141154284E+00, 2.562044086E+00, 7.876426384E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.033313185E+04, 8.966571063E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.250778542E+02, 2.250778542E+02, 0.000000000E+00
8, 1.600000000E-02, 2.000000000E-03, 0.000000000E+00, 2.062710220E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 7.126851341E+05, 7.884733408E+09, 0.000000000E+00, 8.250017600E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250017600E+04,-6.444660784E+00, 0.000000000E+00, 8.250017600E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.353435152E+00, 3.141410393E+00, 8.217724593E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.264673814E+04, 9.022525463E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-3.779943800E+00,-3.779943800E+00, 0.000000000E+00
9, 1.800000000E-02, 2.000000000E-03, 0.000000000E+00, 2.060088585E+02, 6.570060000E+04, 0.000000000E+00, 0.000000000E+00, 8.028119339E+05, 7.884815904E+09, 0.000000000E+00, 8.250019800E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.250019800E+04,-7.372166537E+00, 0.000000000E+00, 8.250019800E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.531905857E+00, 3.807443539E+00, 7.333523867E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.442617647E+04, 8.938795433E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-5.576662882E+00,-5.576662882E+00, 0.000000000E+00
