step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 5.000000000E-03, 0.000000000E+00, 1.767322363E+02, 2.628325486E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.153990584E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 5.000000000E-03, 5.000000000E-03, 0.000000000E+00, 1.760098438E+02, 2.628325486E+05, 0.000000000E+00, 0.000000000E+00, 2.221655571E+05, 3.154011404E+10, 0.000000000E+00, 8.250005500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062501375E+05,-7.986558031E+00, 0.000000000E+00, 2.062501375E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.443078294E-02, 5.048274653E-03, 1.234759926E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.053453946E+04, 2.147691253E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
2, 1.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.753183586E+02, 2.628325486E+05, 0.000000000E+00, 0.000000000E+00, 4.508982253E+05, 3.154032233E+10, 0.000000000E+00, 8.250011000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062502750E+05,-1.522951900E+01, 0.000000000E+00, 2.062502750E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.796891697E+00, 2.435198318E+00, 1.795102835E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.022541150E+04, 2.211130437E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
3, 1.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.746418391E+02, 2.628325486E+05, 0.000000000E+00, 0.000000000E+00, 6.879642080E+05, 3.154053159E+10, 0.000000000E+00, 8.250016500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062504125E+05,-2.588772190E+01, 0.000000000E+00, 2.062504125E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.374659301E+00, 5.724233310E+00, 2.869881544E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.644231933E+04, 2.291365649E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
4, 2.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.739937821E+02, 2.628325486E+05, 0.000000000E+00, 0.000000000E+00, 9.296316897E+05, 3.154074119E+10, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062505500E+05,-4.112939086E+01, 0.000000000E+00, 2.062505500E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.132679406E+00, 1.026174902E+01, 3.393029623E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.018519917E+04, 2.335822392E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 2.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.733719587E+02, 2.628325486E+05, 0.000000000E+00, 0.000000000E+00, 1.175456585E+06, 3.154095122E+10, 0.000000000E+00, 8.250027500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062506875E+05,-6.394941115E+01, 0.000000000E+00, 2.062506875E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.376547364E+01, 1.652809544E+01, 3.856047733E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.210279378E+04, 2.375406425E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
6, 3.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.727749984E+02, 2.628325486E+05, 0.000000000E+00, 0.000000000E+00, 1.424974557E+06, 3.154116189E+10, 0.000000000E+00, 8.250033000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062508250E+05,-9.862266210E+01, 0.000000000E+00, 2.062508250E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.238598127E+01, 2.536900917E+01, 4.333412915E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.023112332E+05, 2.410797950E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
7, 3.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.722037103E+02, 2.628325486E+05, 0.000000000E+00, 0.000000000E+00, 1.677641500E+06, 3.154137310E+10, 0.000000000E+00, 8.250038500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062509625E+05,-1.517942653E+02, 0.000000000E+00, 2.062509625E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.561418731E+01, 3.801782251E+01, 4.764964543E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.106485805E+05, 2.440587467E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
8, 4.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.716538541E+02, 2.628325486E+05, 0.000000000E+00, 0.000000000E+00, 1.933865290E+06, 3.154158515E+10, 0.000000000E+00, 8.250044000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062511000E+05,-2.341194772E+02, 0.000000000E+00, 2.062511000E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.630635835E+01, 5.647792276E+01, 5.306629463E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.174703095E+05, 2.474789464E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
9, 4.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.711246071E+02, 2.628325486E+05, 0.000000000E+00, 0.000000000E+00, 2.194115304E+06, 3.154179791E+10, 0.000000000E+00, 8.250049500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062512375E+05,-3.571518366E+02, 0.000000000E+00, 2.062512375E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.689830852E+01, 8.358398778E+01, 5.895861217E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.231016089E+05, 2.512885680E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
