step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 5.000000000E-03, 0.000000000E+00, 1.141563065E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.037817033E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 5.000000000E-03, 5.000000000E-03, 0.000000000E+00, 1.135243469E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.792537609E+05, 8.037842335E+10, 0.000000000E+00, 8.250005500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062501375E+05,-6.014559304E+01, 0.000000000E+00, 2.062501375E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-8.854571264E-03, 6.584768716E-03,-9.984910847E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.025024076E+04, 1.428163043E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
2, 1.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.131145102E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 2.663991065E+05, 8.037871959E+10, 0.000000000E+00, 8.250011000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062502750E+05,-4.022380114E+02, 0.000000000E+00, 2.062502750E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.099162234E+01, 1.345736933E+00,-1.397811258E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.861521165E+03, 9.872882744E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
3, 1.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.128046508E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 4.023291558E+05, 8.037901520E+10, 0.000000000E+00, 8.250016500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062504125E+05,-2.509867848E+02, 0.000000000E+00, 2.062504125E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.845653254E+01, 2.110186770E+00,-9.292970540E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.034734356E+04, 1.038183130E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
4, 2.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.125298453E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 4.496303224E+05, 8.037934207E+10, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062505500E+05,-5.290020669E+02, 0.000000000E+00, 2.062505500E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.238642624E+01, 5.179665741E+00,-1.366600524E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.645592162E+03, 6.616415033E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 2.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.123163971E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.502823404E+05, 8.037965619E+10, 0.000000000E+00, 8.250027500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062506875E+05,-2.341620751E+02, 0.000000000E+00, 2.062506875E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.805187190E+01, 2.837558084E+00,-1.081466840E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.150306205E+04, 8.434063361E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
6, 3.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.120878733E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.019443953E+05, 8.037999077E+10, 0.000000000E+00, 8.250033000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062508250E+05,-3.627771944E+02, 0.000000000E+00, 2.062508250E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.359364077E+01, 4.722677943E+00,-1.389298270E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.126630240E+04, 6.154604538E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
7, 3.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.119080124E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.576257770E+05, 8.038033299E+10, 0.000000000E+00, 8.250038500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062509625E+05,-2.925675566E+02, 0.000000000E+00, 2.062509625E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.245502884E+01, 5.651269562E+00,-1.146159367E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.332897484E+04, 5.440847518E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
8, 4.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.117592794E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.215973669E+05, 8.038066764E+10, 0.000000000E+00, 8.250044000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062511000E+05,-2.320161174E+02, 0.000000000E+00, 2.062511000E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.534647269E+01, 4.321530562E+00,-1.203764626E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.384095974E+04, 6.135399665E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
9, 4.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.116041590E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.715670130E+05, 8.038101166E+10, 0.000000000E+00, 8.250049500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.062512375E+05,-2.436315084E+02, 0.000000000E+00, 2.062512375E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.263961141E+01, 5.047542676E+00,-1.255991035E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.447001298E+04, 5.054884183E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
