step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in
0, 0.000000000E+00, 5.000000000E-03, 0.000000000E+00, 1.141563065E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.037817033E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 5.000000000E-03, 5.000000000E-03, 0.000000000E+00, 1.134801829E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.488204137E+05, 8.037834589E+10, 0.000000000E+00, 8.250005500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.901939435E+05,-6.241541403E+03, 0.000000000E+00, 1.031250687E+05, 0.000000000E+00, 8.394380596E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-4.426839761E-03, 3.291854149E-03,-6.650265417E+04, 0.000000000E+00, 0.000000000E+00, 1.918126279E+04, 8.047415690E+03, 1.304036309E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
2, 1.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.130767153E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 2.708334554E+05, 8.037854653E+10, 0.000000000E+00, 8.250011000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.912941384E+05,-1.509618709E+04, 0.000000000E+00, 1.031251375E+05, 0.000000000E+00, 8.504386339E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.600875078E+00, 7.080684087E-01,-6.592367352E+04, 0.000000000E+00, 0.000000000E+00, 1.808127411E+04, 7.477779485E+03, 1.097082501E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
3, 1.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.127468639E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 3.719323474E+05, 8.037876706E+10, 0.000000000E+00, 8.250016500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.912255825E+05,-1.234764254E+04, 0.000000000E+00, 1.031252063E+05, 0.000000000E+00, 8.497516995E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.015321151E+01, 2.323645456E+00,-6.999610563E+04, 0.000000000E+00, 0.000000000E+00, 1.815003630E+04, 7.761300438E+03, 9.070730671E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
4, 2.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.124803422E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 4.526465726E+05, 8.037900035E+10, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.912601517E+05,-8.626778670E+03, 0.000000000E+00, 1.031252750E+05, 0.000000000E+00, 8.500960169E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.105093798E+01, 3.539925295E+00,-7.365898764E+04, 0.000000000E+00, 0.000000000E+00, 1.811567331E+04, 8.405522820E+03, 7.803307545E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 2.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.122582023E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.367805242E+05, 8.037923172E+10, 0.000000000E+00, 8.250027500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.908134694E+05,-5.813621890E+03, 0.000000000E+00, 1.031253437E+05, 0.000000000E+00, 8.456278187E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.263285354E+01, 3.444355209E+00,-7.534593466E+04, 0.000000000E+00, 0.000000000E+00, 1.856256187E+04, 9.031000446E+03, 7.751735470E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
6, 3.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.120369666E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.831104514E+05, 8.037948517E+10, 0.000000000E+00, 8.250033000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.903324113E+05,-4.768625424E+03, 0.000000000E+00, 1.031254125E+05, 0.000000000E+00, 8.408158632E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.269867298E+01, 5.968012215E+00,-7.663974475E+04, 0.000000000E+00, 0.000000000E+00, 1.904382618E+04, 9.581663501E+03, 5.655611042E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
7, 3.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.118661464E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.613463472E+05, 8.037972660E+10, 0.000000000E+00, 8.250038500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.897482272E+05,-3.084460055E+03, 0.000000000E+00, 1.031254812E+05, 0.000000000E+00, 8.349726465E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.013942981E+01, 3.860812777E+00,-7.553330102E+04, 0.000000000E+00, 0.000000000E+00, 1.962821660E+04, 1.064380266E+04, 6.898674207E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
8, 4.000000000E-02, 5.000000000E-03, 0.000000000E+00, 1.116847465E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.213349892E+05, 8.037997813E+10, 0.000000000E+00, 8.250044000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.901609225E+05,-2.610047128E+03, 0.000000000E+00, 1.031255500E+05, 0.000000000E+00, 8.390982252E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.075676033E+01, 5.033807930E+00,-7.772675467E+04, 0.000000000E+00, 0.000000000E+00, 1.921572748E+04, 1.098611257E+04, 5.878897436E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
9, 4.500000000E-02, 5.000000000E-03, 0.000000000E+00, 1.115347605E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 7.715297917E+05, 8.038023691E+10, 0.000000000E+00, 8.250049500E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.905736184E+05,-2.156561691E+03, 0.000000000E+00, 1.031256188E+05, 0.000000000E+00, 8.432238093E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.076385516E+01, 6.135998359E+00,-7.942059607E+04, 0.000000000E+00, 0.000000000E+00, 1.880323782E+04, 1.186188901E+04, 5.068736669E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
