step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in
0, 0.000000000E+00, 2.000000000E-02, 0.000000000E+00, 1.141563065E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.037817033E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
1, 2.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.126216846E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 1.796052455E+05, 8.037887769E+10, 0.000000000E+00, 8.250022000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.160915596E+06,-3.569033549E+02, 0.000000000E+00, 4.125011000E+05, 0.000000000E+00, 3.359133958E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-7.085748017E-02, 5.269522667E-02,-7.001801755E+05, 0.000000000E+00, 0.000000000E+00, 7.658770423E+04, 1.670921731E+05, 1.655297942E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
2, 4.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.120751292E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 2.853745600E+05, 8.037966222E+10, 0.000000000E+00, 8.250044000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165456216E+06,-4.077052716E+02, 0.000000000E+00, 4.125022000E+05, 0.000000000E+00, 3.404518157E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.242960284E+01, 1.354789460E+00,-6.914317444E+05, 0.000000000E+00, 0.000000000E+00, 7.205038427E+04, 1.685251092E+05, 1.016047471E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
3, 6.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.117474974E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 3.843962867E+05, 8.038046646E+10, 0.000000000E+00, 8.250066000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165321823E+06,-4.521672395E+02, 0.000000000E+00, 4.125033000E+05, 0.000000000E+00, 3.403152225E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.172544098E+01, 1.183177268E+00,-6.857319612E+05, 0.000000000E+00, 0.000000000E+00, 7.218807750E+04, 1.660440726E+05, 8.744541570E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
4, 8.000000000E-02, 2.000000000E-02, 0.000000000E+00, 1.114806709E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 4.673601172E+05, 8.038128848E+10, 0.000000000E+00, 8.250088000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.165737434E+06,-4.828766117E+02, 0.000000000E+00, 4.125044000E+05, 0.000000000E+00, 3.407286344E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.350460460E+01, 1.130486886E+00,-6.750368099E+05, 0.000000000E+00, 0.000000000E+00, 7.177576560E+04, 1.679272495E+05, 8.077657482E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 1.000000000E-01, 2.000000000E-02, 0.000000000E+00, 1.112648744E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 5.479040360E+05, 8.038211687E+10, 0.000000000E+00, 8.250110000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.164228023E+06,-5.078329948E+02, 0.000000000E+00, 4.125055000E+05, 0.000000000E+00, 3.392170228E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.621205847E+01, 1.160520773E+00,-6.642529562E+05, 0.000000000E+00, 0.000000000E+00, 7.328847717E+04, 1.709031935E+05, 8.367772928E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
6, 1.200000000E-01, 2.000000000E-02, 0.000000000E+00, 1.110839803E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.100395231E+05, 8.038295817E+10, 0.000000000E+00, 8.250132000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.162306097E+06,-5.497857848E+02, 0.000000000E+00, 4.125066000E+05, 0.000000000E+00, 3.372928966E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.139989708E+02, 1.257066695E+00,-6.509726209E+05, 0.000000000E+00, 0.000000000E+00, 7.521370340E+04, 1.739424264E+05, 8.211380622E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
7, 1.400000000E-01, 2.000000000E-02, 0.000000000E+00, 1.109550247E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.360687855E+05, 8.038382422E+10, 0.000000000E+00, 8.250154000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.159421642E+06,-5.851562853E+02, 0.000000000E+00, 4.125077000E+05, 0.000000000E+00, 3.344062421E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.395721012E+02, 1.359080557E+00,-6.345912813E+05, 0.000000000E+00, 0.000000000E+00, 7.810145787E+04, 1.787706946E+05, 7.084599800E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
8, 1.600000000E-01, 2.000000000E-02, 0.000000000E+00, 1.108827666E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.363022123E+05, 8.038471377E+10, 0.000000000E+00, 8.250176000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.161212272E+06,-5.779939918E+02, 0.000000000E+00, 4.125088000E+05, 0.000000000E+00, 3.361946720E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.467120192E+02, 1.406220844E+00,-6.260021449E+05, 0.000000000E+00, 0.000000000E+00, 7.631412800E+04, 1.832686401E+05, 5.774876566E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
9, 1.800000000E-01, 2.000000000E-02, 0.000000000E+00, 1.108761282E+02, 6.698180861E+05, 0.000000000E+00, 0.000000000E+00, 6.223428389E+05, 8.038561340E+10, 0.000000000E+00, 8.250198000E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.163002911E+06,-5.586515179E+02, 0.000000000E+00, 4.125099000E+05, 0.000000000E+00, 3.379831114E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.411514557E+02, 1.456603360E+00,-6.210006613E+05, 0.000000000E+00, 0.000000000E+00, 7.452678860E+04, 1.871134340E+05, 5.446351713E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
