name,E_arc_total,T_gas_max,T_gas_min,T_liquid_max,T_liquid_min,T_solid_max,T_solid_min,alpha_liquid_max,alpha_liquid_min,alpha_solid_max,alpha_solid_min,exit,m_gas_final,m_liq_final,m_melted_total,m_sol_final,n_snapshots,n_steps,pressure_max,pressure_min,t_final,wall_s
c2_dt20,12375140.8,585.8162857290654,300.0,300.0,300.0,302.7698500095947,300.0,0.0,0.0,0.55,0.0,0,110.3201576,0.0,0.0,669818.0861,3,8.0,16544.913948601097,0.0,0.16,0.6
c2_dt10,12787640.8,724.5122839319644,300.0,300.0,300.0,303.69105712178464,300.0,0.0,0.0,0.55,0.0,0,110.2664453,0.0,0.0,669818.0861,5,16.0,11903.4982910198,0.0,0.16,0.9
c2_dt05,12993890.8,1428.303234635668,300.0,300.0,300.0,304.5359397736975,300.0,0.0,0.0,0.55,0.0,0,109.2297363,0.0,0.0,669818.0861,8,32.0,7498.444642245354,0.0,0.16,1.4
c3_tol3,17325266.2,540.3881934957594,300.0,300.0,300.0,303.657334592377,300.0,0.0,0.0,0.55,0.0,0,110.8695701,0.0,0.0,669818.0861,4,11.0,26347.137326765496,0.0,0.22,1.1
c3_tol4,17325266.2,565.0225615530514,300.0,300.0,300.0,303.6197734264362,300.0,0.0,0.0,0.55,0.0,0,110.9115223,0.0,0.0,669818.0861,4,11.0,30394.442106181963,0.0,0.22,2.3
c3_tol5,17325266.2,568.3724111035917,300.0,300.0,300.0,303.6148056758438,300.0,0.0,0.0,0.55,0.0,0,110.9287112,0.0,0.0,669818.0861,4,11.0,31014.479141170472,0.0,0.22,5.4
c3_tol6,17325266.2,568.7706391754936,300.0,300.0,300.0,303.6142520789196,300.0,0.0,0.0,0.55,0.0,0,110.9309928,0.0,0.0,669818.0861,4,11.0,31111.395342328226,0.0,0.22,18.9
c3_tol7,17325266.2,568.7706391754936,300.0,300.0,300.0,303.6142520789196,300.0,0.0,0.0,0.55,0.0,0,110.9309928,0.0,0.0,669818.0861,4,11.0,31111.395342328226,0.0,0.22,19.2
c3_tol8,17325266.2,568.7706391754936,300.0,300.0,300.0,303.6142520789196,300.0,0.0,0.0,0.55,0.0,0,110.9309928,0.0,0.0,669818.0861,4,11.0,31111.395342328226,0.0,0.22,19.3
c3_tol9,17325266.2,568.7706391754936,300.0,300.0,300.0,303.6142520789196,300.0,0.0,0.0,0.55,0.0,0,110.9309928,0.0,0.0,669818.0861,4,11.0,31111.395342328226,0.0,0.22,20.1
