step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 5.000000000E+00, 0.000000000E+00, 1.436086458E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.657573308E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.004000000E+00, 1.000000000E-03, 0.000000000E+00, 2.394613892E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.844469279E+07, 5.666615394E+10, 0.000000000E+00, 8.255504400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.359162533E+08, 3.943142840E+10, 0.000000000E+00, 1.136722550E+07, 0.000000000E+00, 3.745456371E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.351518512E+05, 1.731179813E+05, 1.166120174E+11, 0.000000000E+00, 0.000000000E+00, 6.582174132E+07, 6.155607660E+10, 1.802860781E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
10, 5.009000000E+00, 1.000000000E-03, 0.000000000E+00, 2.274481276E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.879185407E+07, 5.675904781E+10, 0.000000000E+00, 8.255509900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.434411629E+05,-4.337078933E+05, 0.000000000E+00, 1.031938462E+05, 0.000000000E+00, 3.705347042E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.458211349E+04, 1.129112678E+05, 9.896822835E+07, 0.000000000E+00, 0.000000000E+00, 6.614037583E+04,-1.139907571E+08, 1.685577573E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 5.014000000E+00, 1.000000000E-03, 0.000000000E+00, 2.291373869E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.850508063E+07, 5.685255467E+10, 0.000000000E+00, 8.255515400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.443631907E+05,-4.382178196E+05, 0.000000000E+00, 1.031939150E+05, 0.000000000E+00, 3.797536065E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.458809691E+04, 1.091537564E+05, 9.548441699E+07, 0.000000000E+00, 0.000000000E+00, 6.521855435E+04,-1.191157817E+08, 1.253131381E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
20, 5.019000000E+00, 1.000000000E-03, 0.000000000E+00, 2.310377523E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.837024465E+07, 5.694604644E+10, 0.000000000E+00, 8.255520900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.444803067E+05,-4.205702051E+05, 0.000000000E+00, 1.031939838E+05, 0.000000000E+00, 3.809233921E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.568322463E+04, 1.079574042E+05, 9.402182570E+07, 0.000000000E+00, 0.000000000E+00, 6.510164454E+04,-1.190148937E+08,-1.661103888E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
25, 5.024000000E+00, 1.000000000E-03, 0.000000000E+00, 2.329071117E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.823909207E+07, 5.703935683E+10, 0.000000000E+00, 8.255526400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.442465631E+05,-4.070590609E+05, 0.000000000E+00, 1.031940525E+05, 0.000000000E+00, 3.785845805E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.355420785E+04, 1.044624620E+05, 9.383387218E+07, 0.000000000E+00, 0.000000000E+00, 6.533559445E+04,-1.189931033E+08,-1.622481698E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
30, 5.029000000E+00, 1.000000000E-03, 0.000000000E+00, 2.347197207E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.811493239E+07, 5.713249067E+10, 0.000000000E+00, 8.255531900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.439646618E+05,-3.945559725E+05, 0.000000000E+00, 1.031941213E+05, 0.000000000E+00, 3.757641932E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.156990279E+04, 1.012071562E+05, 9.379031165E+07, 0.000000000E+00, 0.000000000E+00, 6.561770193E+04,-1.189439511E+08,-1.550752627E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
35, 5.034000000E+00, 1.000000000E-03, 0.000000000E+00, 2.365001850E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.799431320E+07, 5.722544948E+10, 0.000000000E+00, 8.255537400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.434213349E+05,-3.826613361E+05, 0.000000000E+00, 1.031941900E+05, 0.000000000E+00, 3.703295488E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.969891910E+04, 9.813900702E+04, 9.361495355E+07, 0.000000000E+00, 0.000000000E+00, 6.616123512E+04,-1.193536479E+08,-1.513623185E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
40, 5.039000000E+00, 1.000000000E-03, 0.000000000E+00, 2.382302242E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.787794740E+07, 5.731823777E+10, 0.000000000E+00, 8.255542900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.442883290E+05,-3.715303473E+05, 0.000000000E+00, 1.031942588E+05, 0.000000000E+00, 3.789981152E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.793081995E+04, 9.523797490E+04, 9.337229081E+07, 0.000000000E+00, 0.000000000E+00, 6.529444723E+04,-1.201145273E+08,-1.469392096E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
45, 5.044000000E+00, 1.000000000E-03, 0.000000000E+00, 2.399273773E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.776618017E+07, 5.741086269E+10, 0.000000000E+00, 8.255548400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.436762053E+05,-3.612536307E+05, 0.000000000E+00, 1.031943275E+05, 0.000000000E+00, 3.728755027E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.626443434E+04, 9.250726276E+04, 9.313988949E+07, 0.000000000E+00, 0.000000000E+00, 6.590677723E+04,-1.240126214E+08,-1.421761680E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
