step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 5.000000000E+00, 0.000000000E+00, 1.436086458E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.657573308E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.004000000E+00, 1.000000000E-03, 0.000000000E+00, 9.843166821E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.867061970E+07, 5.660014753E+10, 0.000000000E+00, 8.255504400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.361159346E+08, 1.752230128E+11, 0.000000000E+00, 1.136722550E+07, 0.000000000E+00, 3.765424499E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.923646227E+04, 1.042926928E+05,-1.610056695E+11, 0.000000000E+00, 0.000000000E+00, 6.562206004E+07, 1.523058347E+11, 9.160931289E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
10, 5.009000000E+00, 1.000000000E-03, 0.000000000E+00, 1.062979682E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.291021431E+07, 5.660055915E+10, 0.000000000E+00, 8.255509900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.439103509E+05,-1.124693149E+05, 0.000000000E+00, 1.031938462E+05, 0.000000000E+00, 3.752265840E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.912282090E+04, 1.000993469E+05,-1.838701737E+07, 0.000000000E+00, 0.000000000E+00, 6.567118785E+04,-2.759791061E+07,-6.095529991E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 5.014000000E+00, 1.000000000E-03, 0.000000000E+00, 1.108866286E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.818850645E+07, 5.660102855E+10, 0.000000000E+00, 8.255515400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.440880069E+05,-4.398955472E+04, 0.000000000E+00, 1.031939150E+05, 0.000000000E+00, 3.770017694E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.618801199E+04, 4.572826329E+04,-2.346237875E+07, 0.000000000E+00, 0.000000000E+00, 6.549373806E+04,-6.569345702E+07,-4.894440110E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
20, 5.019000000E+00, 1.000000000E-03, 0.000000000E+00, 1.156697228E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.388447207E+07, 5.660148024E+10, 0.000000000E+00, 8.255520900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.442546558E+05,-1.335415020E+04, 0.000000000E+00, 1.031939838E+05, 0.000000000E+00, 3.786668833E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.907247059E+03, 1.521301391E+04,-2.218341107E+07, 0.000000000E+00, 0.000000000E+00, 6.532729542E+04,-9.297583872E+07,-4.451163171E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
25, 5.024000000E+00, 1.000000000E-03, 0.000000000E+00, 1.211279659E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.007417728E+07, 5.660171886E+10, 0.000000000E+00, 8.255526400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.439479883E+05,-3.942260997E+03, 0.000000000E+00, 1.031940525E+05, 0.000000000E+00, 3.755988329E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.418965834E+03, 4.515609162E+03,-1.875530239E+07, 0.000000000E+00, 0.000000000E+00, 6.563416921E+04,-1.053688329E+08,-3.924587546E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
30, 5.029000000E+00, 1.000000000E-03, 0.000000000E+00, 1.267117888E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 6.872837804E+06, 5.660188673E+10, 0.000000000E+00, 8.255531900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.439942441E+05,-1.237826042E+03, 0.000000000E+00, 1.031941213E+05, 0.000000000E+00, 3.760600165E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.286907943E+02, 1.381725590E+03,-1.476226834E+07, 0.000000000E+00, 0.000000000E+00, 6.558811960E+04,-1.082949906E+08,-3.285409705E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
35, 5.034000000E+00, 1.000000000E-03, 0.000000000E+00, 1.314982195E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.514339463E+06, 5.660205138E+10, 0.000000000E+00, 8.255537400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.437990257E+05,-4.296578967E+02, 0.000000000E+00, 1.031941900E+05, 0.000000000E+00, 3.741064572E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.422070401E+02, 4.615556310E+02,-1.073435939E+07, 0.000000000E+00, 0.000000000E+00, 6.578354428E+04,-1.054485642E+08,-2.411030327E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
40, 5.039000000E+00, 1.000000000E-03, 0.000000000E+00, 1.359101431E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.684654923E+06, 5.660219824E+10, 0.000000000E+00, 8.255542900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.441610560E+05,-1.639687099E+02, 0.000000000E+00, 1.031942588E+05, 0.000000000E+00, 3.777253852E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.254000824E+01, 1.714477943E+02,-7.542160393E+06, 0.000000000E+00, 0.000000000E+00, 6.542172023E+04,-9.894704033E+07,-1.861788620E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
45, 5.044000000E+00, 1.000000000E-03, 0.000000000E+00, 1.386856140E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.621746701E+06, 5.660231881E+10, 0.000000000E+00, 8.255548400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.437422497E+05,-6.881065539E+01, 0.000000000E+00, 1.031943275E+05, 0.000000000E+00, 3.735359470E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.081347898E+01, 6.900333488E+01,-4.691152205E+06, 0.000000000E+00, 0.000000000E+00, 6.584073280E+04,-9.002954038E+07,-1.076762031E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
