step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 5.000000000E+00, 0.000000000E+00, 1.436086458E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.657573308E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.004000000E+00, 1.000000000E-03, 0.000000000E+00, 1.392395815E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.607274633E+06, 5.660494874E+10, 0.000000000E+00, 8.255504400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.222558308E+08, 1.380364652E+11, 0.000000000E+00, 1.186329968E+07, 0.000000000E+00, 4.494547645E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.385173427E+06, 1.466176607E+06, 4.804407102E+11, 0.000000000E+00, 0.000000000E+00, 7.898608958E+07,-3.449165520E+12,-4.683860694E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
10, 5.009000000E+00, 1.000000000E-03, 0.000000000E+00, 1.434844361E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.070181443E+04, 5.660507509E+10, 0.000000000E+00, 8.255509900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.095743185E+05, 2.797859089E+00, 0.000000000E+00, 1.238326155E+05, 0.000000000E+00, 4.446416450E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.934678061E+00, 2.445877947E+01,-1.963762178E+06, 0.000000000E+00, 0.000000000E+00, 7.936845100E+04,-1.384568281E+07,-1.708641781E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 5.014000000E+00, 1.000000000E-03, 0.000000000E+00, 1.435568860E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.351584211E+04, 5.660516503E+10, 0.000000000E+00, 8.255515400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.106806968E+05, 3.333738445E-01, 0.000000000E+00, 1.238326980E+05, 0.000000000E+00, 4.557043279E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-8.946693430E-01, 8.841622859E-01,-2.688879505E+05, 0.000000000E+00, 0.000000000E+00, 7.826226521E+04, 3.244650285E+07,-2.315353071E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
20, 5.019000000E+00, 1.000000000E-03, 0.000000000E+00, 1.435381642E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.019956699E+04, 5.660524387E+10, 0.000000000E+00, 8.255520900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.108211811E+05, 3.319051983E-01, 0.000000000E+00, 1.238327805E+05, 0.000000000E+00, 4.571080705E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-8.184538021E-01, 7.248831657E-01,-2.512394409E+05, 0.000000000E+00, 0.000000000E+00, 7.812197345E+04, 2.622997235E+07, 6.671925682E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
25, 5.024000000E+00, 1.000000000E-03, 0.000000000E+00, 1.434923199E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.252503317E+04, 5.660532804E+10, 0.000000000E+00, 8.255526400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.105406337E+05, 4.123702159E-02, 0.000000000E+00, 1.238328630E+05, 0.000000000E+00, 4.543014967E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-7.170696255E-01, 8.415849867E-01,-2.371357490E+05, 0.000000000E+00, 0.000000000E+00, 7.840271333E+04, 8.377487324E+06, 1.228832182E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
30, 5.029000000E+00, 1.000000000E-03, 0.000000000E+00, 1.433707876E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 7.242707170E+04, 5.660542822E+10, 0.000000000E+00, 8.255531900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.102022972E+05,-5.214639427E-01, 0.000000000E+00, 1.238329455E+05, 0.000000000E+00, 4.509170319E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-5.360173832E-01, 9.934665574E-01,-2.011141074E+05, 0.000000000E+00, 0.000000000E+00, 7.874124231E+04, 5.347140869E+06, 2.982084100E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
35, 5.034000000E+00, 1.000000000E-03, 0.000000000E+00, 1.433197998E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 8.517324040E+04, 5.660556685E+10, 0.000000000E+00, 8.255537400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.095502499E+05,-1.285999625E+00, 0.000000000E+00, 1.238330280E+05, 0.000000000E+00, 4.443954586E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-1.824737040E-01, 1.282985463E+00,-1.817288347E+05, 0.000000000E+00, 0.000000000E+00, 7.939348214E+04, 4.563627095E+06, 1.266230607E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
40, 5.039000000E+00, 1.000000000E-03, 0.000000000E+00, 1.434333485E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 5.813132416E+04, 5.660568159E+10, 0.000000000E+00, 8.255542900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.105905878E+05,-7.243393837E-01, 0.000000000E+00, 1.238331105E+05, 0.000000000E+00, 4.547977383E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.512850944E-01, 1.217359395E+00,-2.489689046E+05, 0.000000000E+00, 0.000000000E+00, 7.835333667E+04, 5.320962240E+06,-2.719377740E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
45, 5.044000000E+00, 1.000000000E-03, 0.000000000E+00, 1.435488109E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.647582644E+04, 5.660576487E+10, 0.000000000E+00, 8.255548400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.098559843E+05, 2.604898502E-01, 0.000000000E+00, 1.238331930E+05, 0.000000000E+00, 4.474506033E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-6.797920909E-01, 8.824644696E-01,-2.839238594E+05, 0.000000000E+00, 0.000000000E+00, 7.908813267E+04, 1.390616609E+07,-3.186760636E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
