step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 5.000000000E+00, 0.000000000E+00, 1.436086458E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.657573308E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.004000000E+00, 1.000000000E-03, 0.000000000E+00, 9.237497525E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.134780990E+07, 5.660851945E+10, 0.000000000E+00, 8.255504400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.496043439E+08, 1.301890249E+11, 0.000000000E+00, 1.084348315E+07, 0.000000000E+00, 2.996365097E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 6.131966279E+04, 9.339995834E+04,-6.100290184E+11, 0.000000000E+00, 0.000000000E+00, 5.265739306E+07,-2.588587121E+12,-1.083241148E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
10, 5.009000000E+00, 1.000000000E-03, 0.000000000E+00, 5.735717754E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.257481594E+07, 5.665256652E+10, 0.000000000E+00, 8.255509900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.773080073E+05,-2.300938617E+05, 0.000000000E+00, 8.255507700E+04, 0.000000000E+00, 2.964277634E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.011462149E+04, 9.194559809E+04, 5.441377242E+07, 0.000000000E+00, 0.000000000E+00, 5.291230066E+04,-4.787994713E+07, 7.192742011E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 5.014000000E+00, 1.000000000E-03, 0.000000000E+00, 1.329599347E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.965632125E+06, 5.666998389E+10, 0.000000000E+00, 8.255515400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.780456845E+05,-4.275308579E+04, 0.000000000E+00, 8.255513200E+04, 0.000000000E+00, 3.038028852E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.858217373E+04, 4.309444584E+04,-2.195999329E+07, 0.000000000E+00, 0.000000000E+00, 5.217484348E+04,-4.673096385E+07,-3.947994614E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
20, 5.019000000E+00, 1.000000000E-03, 0.000000000E+00, 1.431812385E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.379294751E+05, 5.667005883E+10, 0.000000000E+00, 8.255520900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.781394324E+05, 3.422193497E-01, 0.000000000E+00, 8.255518700E+04, 0.000000000E+00, 3.047387137E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.921429306E+01, 9.614815062E+01,-4.812419942E+06, 0.000000000E+00, 0.000000000E+00, 5.208131563E+04, 2.048532189E+07,-4.540998031E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
25, 5.024000000E+00, 1.000000000E-03, 0.000000000E+00, 1.434593928E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 6.889640402E+04, 5.667005862E+10, 0.000000000E+00, 8.255526400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.779524924E+05, 3.155179463E-01, 0.000000000E+00, 8.255524200E+04, 0.000000000E+00, 3.028676644E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.341054370E+00, 3.076584301E+00,-4.367092311E+05, 0.000000000E+00, 0.000000000E+00, 5.226847556E+04, 1.642662679E+07,-7.035765594E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
30, 5.029000000E+00, 1.000000000E-03, 0.000000000E+00, 1.434642027E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 7.062121804E+04, 5.667001012E+10, 0.000000000E+00, 8.255531900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.777270265E+05, 7.331498976E-01, 0.000000000E+00, 8.255529700E+04, 0.000000000E+00, 3.006113546E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.515143145E+00, 2.581758620E+00,-4.075498036E+05, 0.000000000E+00, 0.000000000E+00, 5.249416154E+04, 1.335714278E+07, 1.692045897E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
35, 5.034000000E+00, 1.000000000E-03, 0.000000000E+00, 1.433499496E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 9.652195699E+04, 5.666998903E+10, 0.000000000E+00, 8.255537400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.772924199E+05, 7.340393937E-02, 0.000000000E+00, 8.255535200E+04, 0.000000000E+00, 2.962636390E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.311645452E+00, 2.704079064E+00,-3.554287929E+05, 0.000000000E+00, 0.000000000E+00, 5.292898810E+04, 1.154947876E+07, 2.574049829E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
40, 5.039000000E+00, 1.000000000E-03, 0.000000000E+00, 1.434695256E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 6.653141430E+04, 5.666995695E+10, 0.000000000E+00, 8.255542900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.779860702E+05, 4.892683013E-01, 0.000000000E+00, 8.255540700E+04, 0.000000000E+00, 3.031984922E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.293659783E+00, 2.724625624E+00,-4.254087652E+05, 0.000000000E+00, 0.000000000E+00, 5.223555778E+04, 1.433156265E+07,-3.020175746E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
45, 5.044000000E+00, 1.000000000E-03, 0.000000000E+00, 1.434998974E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 5.912735438E+04, 5.666990486E+10, 0.000000000E+00, 8.255548400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.774964262E+05, 9.325702136E-01, 0.000000000E+00, 8.255546200E+04, 0.000000000E+00, 2.983004022E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00,-2.576593501E+00, 2.525816802E+00,-4.201449716E+05, 0.000000000E+00, 0.000000000E+00, 5.272542178E+04, 1.493855319E+07,-7.426456403E+03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
