step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 5.000000000E+00, 0.000000000E+00, 1.436086458E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.657573308E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.004000000E+00, 1.000000000E-03, 0.000000000E+00, 4.888633386E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.832369864E+07, 5.661879165E+10, 0.000000000E+00, 8.255504400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.359162533E+08, 3.838958732E+11, 0.000000000E+00, 1.136722550E+07, 0.000000000E+00, 3.745456371E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.708557361E+04, 7.192902526E+04,-6.332020334E+12, 0.000000000E+00, 0.000000000E+00, 6.582174132E+07, 3.949201395E+11, 1.422071035E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
10, 5.009000000E+00, 1.000000000E-03, 0.000000000E+00, 1.988121280E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.143324651E+07, 5.671258861E+10, 0.000000000E+00, 8.255509900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.434411629E+05,-7.681165940E+05, 0.000000000E+00, 1.031938462E+05, 0.000000000E+00, 3.705347042E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.239303257E+05, 1.861582085E+05, 1.032597750E+08, 0.000000000E+00, 0.000000000E+00, 6.614037583E+04,-2.770286397E+08, 2.894735200E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 5.014000000E+00, 1.000000000E-03, 0.000000000E+00, 2.016477874E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.099628700E+07, 5.680846157E+10, 0.000000000E+00, 8.255515400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.443631907E+05,-7.407411615E+05, 0.000000000E+00, 1.031939150E+05, 0.000000000E+00, 3.797536065E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.233882494E+05, 1.796420604E+05, 9.817328978E+07, 0.000000000E+00, 0.000000000E+00, 6.521855435E+04,-2.740892595E+08, 1.151460024E+06, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
20, 5.019000000E+00, 1.000000000E-03, 0.000000000E+00, 2.043630714E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.075594769E+07, 5.690424262E+10, 0.000000000E+00, 8.255520900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.444803067E+05,-6.946695430E+05, 0.000000000E+00, 1.031939838E+05, 0.000000000E+00, 3.809233921E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.056303097E+05, 1.736171544E+05, 9.651513412E+07, 0.000000000E+00, 0.000000000E+00, 6.510164454E+04,-2.740251377E+08,-2.734063140E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
25, 5.024000000E+00, 1.000000000E-03, 0.000000000E+00, 2.069465454E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.053228892E+07, 5.699978247E+10, 0.000000000E+00, 8.255526400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.442465631E+05,-6.595682893E+05, 0.000000000E+00, 1.031940525E+05, 0.000000000E+00, 3.785845806E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.002061449E+05, 1.647106138E+05, 9.624955768E+07, 0.000000000E+00, 0.000000000E+00, 6.533559445E+04,-2.738461489E+08,-2.564624750E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
30, 5.029000000E+00, 1.000000000E-03, 0.000000000E+00, 2.093834892E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.032659501E+07, 5.709509406E+10, 0.000000000E+00, 8.255531900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.439646618E+05,-6.286568701E+05, 0.000000000E+00, 1.031941213E+05, 0.000000000E+00, 3.757641932E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.541506088E+04, 1.568414037E+05, 9.601857284E+07, 0.000000000E+00, 0.000000000E+00, 6.561770193E+04,-2.737799402E+08,-2.382445507E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
35, 5.034000000E+00, 1.000000000E-03, 0.000000000E+00, 2.118403652E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.012175350E+07, 5.719018406E+10, 0.000000000E+00, 8.255537400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.434213349E+05,-6.004252289E+05, 0.000000000E+00, 1.031941900E+05, 0.000000000E+00, 3.703295488E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 9.111810691E+04, 1.497823496E+05, 9.576642716E+07, 0.000000000E+00, 0.000000000E+00, 6.616123512E+04,-2.736869039E+08,-2.371857770E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
40, 5.039000000E+00, 1.000000000E-03, 0.000000000E+00, 2.141730718E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.993144816E+07, 5.728505066E+10, 0.000000000E+00, 8.255542900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.442883290E+05,-5.736805225E+05, 0.000000000E+00, 1.031942588E+05, 0.000000000E+00, 3.789981152E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.699112337E+04, 1.430152388E+05, 9.554799673E+07, 0.000000000E+00, 0.000000000E+00, 6.529444723E+04,-2.736941355E+08,-2.224095841E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
45, 5.044000000E+00, 1.000000000E-03, 0.000000000E+00, 2.164053621E+01, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.975269966E+07, 5.737970529E+10, 0.000000000E+00, 8.255548400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.436762053E+05,-5.497421608E+05, 0.000000000E+00, 1.031943275E+05, 0.000000000E+00, 3.728755027E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 8.330874824E+04, 1.369652520E+05, 9.525447196E+07, 0.000000000E+00, 0.000000000E+00, 6.590677723E+04,-2.737799845E+08,-2.106324316E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
