step,time,dt,m_liq,m_gas,m_sol,m_slag,E_liq,E_gas,E_sol,E_slag,P_arc,E_src_liq_arc,E_src_liq_rad,E_src_liq_chem,E_src_gas_arc,E_src_gas_rad,E_src_gas_chem,E_arc_direct_sol,E_arc_discarded,E_mc_deposit,m_melted,m_resolid,E_melt_from_solid,m_alpha_clip,E_slag_intercept,E_rad_sol,E_rad_wall,E_conv_defect,E_wall_conv,E_chem_sol,E_mc_lost,E_out_conv,E_gas_abs,E_mass_liq,m_ecs_in,E_ecs_in,m_flux_in,E_flux_in,m_fe_yield,m_fe_return,E_slag_ox,E_slag_red,E_rad_foam
0, 0.000000000E+00, 5.000000000E+00, 0.000000000E+00, 1.436086458E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.657573308E+10, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
5, 5.004000000E+00, 1.000000000E-03, 0.000000000E+00, 1.423021703E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 3.820314084E+05, 5.659424931E+10, 0.000000000E+00, 8.255504400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 3.359162533E+08, 1.013188790E+11, 0.000000000E+00, 1.136722550E+07, 0.000000000E+00, 3.745456371E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.315160396E+04, 1.663616721E+04,-2.561955109E+11, 0.000000000E+00, 0.000000000E+00, 6.582174132E+07,-3.089608236E+11,-3.777900982E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
10, 5.009000000E+00, 1.000000000E-03, 0.000000000E+00, 1.417813523E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.386528850E+05, 5.659453484E+10, 0.000000000E+00, 8.255509900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.434411629E+05,-7.986426601E+00, 0.000000000E+00, 1.031938462E+05, 0.000000000E+00, 3.705347042E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.744782369E+00, 4.984978303E+00,-3.777197169E+04, 0.000000000E+00, 0.000000000E+00, 6.614037583E+04,-1.915015679E+07, 5.558434985E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
15, 5.014000000E+00, 1.000000000E-03, 0.000000000E+00, 1.401110787E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 6.915818237E+05, 5.659632105E+10, 0.000000000E+00, 8.255515400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.443631907E+05,-2.485593250E+01, 0.000000000E+00, 1.031939150E+05, 0.000000000E+00, 3.797536065E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.253621354E+00, 7.895273730E+00, 1.725671260E+06, 0.000000000E+00, 0.000000000E+00, 6.521855435E+04,-3.798317042E+07, 2.794512381E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
20, 5.019000000E+00, 1.000000000E-03, 0.000000000E+00, 1.416986927E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 4.724891907E+05, 5.659730718E+10, 0.000000000E+00, 8.255520900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.444803067E+05,-1.670632272E+01, 0.000000000E+00, 1.031939838E+05, 0.000000000E+00, 3.809233921E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 4.386191003E+00, 8.171952004E+00, 4.084228709E+05, 0.000000000E+00, 0.000000000E+00, 6.510164454E+04,-2.824762429E+07,-2.196979377E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
25, 5.024000000E+00, 1.000000000E-03, 0.000000000E+00, 1.425402811E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 2.529182460E+05, 5.659781976E+10, 0.000000000E+00, 8.255526400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.442465631E+05,-8.690507356E+00, 0.000000000E+00, 1.031940525E+05, 0.000000000E+00, 3.785845806E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.453717475E+00, 5.112962423E+00,-6.191647770E+04, 0.000000000E+00, 0.000000000E+00, 6.533559445E+04,-4.516654671E+07,-2.200144036E+05, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
30, 5.029000000E+00, 1.000000000E-03, 0.000000000E+00, 1.427506964E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.973565838E+05, 5.659825502E+10, 0.000000000E+00, 8.255531900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.439646618E+05,-6.037936527E+00, 0.000000000E+00, 1.031941213E+05, 0.000000000E+00, 3.757641932E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 1.174977045E+00, 3.099140480E+00, 3.324399022E+04, 0.000000000E+00, 0.000000000E+00, 6.561770193E+04,-6.803793716E+07,-5.565344087E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
35, 5.034000000E+00, 1.000000000E-03, 0.000000000E+00, 1.428326508E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.639638353E+05, 5.659868630E+10, 0.000000000E+00, 8.255537400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.434213349E+05,-5.112972722E+00, 0.000000000E+00, 1.031941900E+05, 0.000000000E+00, 3.703295488E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 7.807672394E-01, 2.473716928E+00, 4.873292369E+04, 0.000000000E+00, 0.000000000E+00, 6.616123512E+04,-9.517830643E+07,-3.344559711E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
40, 5.039000000E+00, 1.000000000E-03, 0.000000000E+00, 1.430166154E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.248113036E+05, 5.659908629E+10, 0.000000000E+00, 8.255542900E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.442883290E+05,-4.128909580E+00, 0.000000000E+00, 1.031942588E+05, 0.000000000E+00, 3.789981152E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 5.044128676E-01, 1.998068340E+00, 1.163387060E+04, 0.000000000E+00, 0.000000000E+00, 6.529444723E+04,-1.129122945E+08,-3.920596129E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
45, 5.044000000E+00, 1.000000000E-03, 0.000000000E+00, 1.430651890E+02, 4.714644424E+05, 0.000000000E+00, 0.000000000E+00, 1.101263889E+05, 5.659947778E+10, 0.000000000E+00, 8.255548400E+07, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.436762053E+05,-3.679366252E+00, 0.000000000E+00, 1.031943275E+05, 0.000000000E+00, 3.728755027E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 2.706949773E-01, 1.666322430E+00, 3.049441585E+04, 0.000000000E+00, 0.000000000E+00, 6.590677723E+04,-1.450308404E+08,-1.471886789E+04, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
