# bucket  mass[kg]  solid_fraction
# Bucket 1: 65.7 t total, 14 layers
1   4692.9   0.52
1   4692.9   0.48
1   4692.9   0.55
1   4692.9   0.45
1   4692.9   0.50
1   4692.9   0.50
1   4692.9   0.53
1   4692.9   0.47
1   4692.9   0.50
1   4692.9   0.50
1   4692.9   0.52
1   4692.9   0.48
1   4692.9   0.50
1   4692.9   0.50
# Bucket 2: 66.2 t total, 13 layers
2   5092.3   0.50
2   5092.3   0.52
2   5092.3   0.48
2   5092.3   0.55
2   5092.3   0.45
2   5092.3   0.50
2   5092.3   0.50
2   5092.3   0.53
2   5092.3   0.47
2   5092.3   0.50
2   5092.3   0.50
2   5092.3   0.52
2   5092.3   0.48
