# time[s]  voltage[V]  current[A]
# Phase 1: Bore-in (0-600s) - high power
0.0      500.0    55000.0
300.0    520.0    55000.0
600.0    500.0    52000.0
# Phase 2: Flat bath 1st bucket (600-2100s)
900.0    480.0    50000.0
1200.0   480.0    50000.0
1500.0   470.0    48000.0
1800.0   460.0    48000.0
2100.0   450.0    45000.0
# Bucket 2 loading pause
2100.1   0.0      0.0
2160.0   0.0      0.0
# Phase 3: Bore-in 2nd bucket (2160-2760s)
2161.0   520.0    55000.0
2460.0   510.0    53000.0
2760.0   500.0    50000.0
# Phase 4: Flat bath full charge (2760-5040s)
3000.0   480.0    50000.0
3500.0   470.0    48000.0
4000.0   460.0    46000.0
4500.0   450.0    44000.0
5040.0   440.0    42000.0
